,seed,seed,fold,fold,roc_auc,roc_auc,pr_auc,pr_auc,recall_opt,recall_opt,fn_opt,fn_opt,thr_opt,thr_opt,accuracy,accuracy,precision,precision,recall,recall,specificity,specificity,f1,f1,f2,f2,fn,fn,fp,fp
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,16.6,14.756354563373705,2.0,1.4433756729740645,0.8258764500349406,0.034905981782190745,0.7060402123363745,0.048554882509576194,0.9380712788259958,0.04070708477391948,3.32,2.17408984788271,0.114,0.07147260547463856,0.7585790679908326,0.029727001118364734,0.6713837790995204,0.05158888391080741,0.6097414395527604,0.06514547697719678,0.8384,0.0364783040541452,0.6370744580713971,0.04842203452518177,0.6199857029456904,0.05755331958740378,20.92,3.510935297989221,16.16,3.6478304054145205
Weighted CE,16.6,14.756354563373705,2.0,1.4433756729740645,0.8265234102026555,0.037657072130750084,0.7099852585741643,0.05200397576073387,0.9291404612159329,0.040997674921971955,3.8,2.1984843263788196,0.2,0.1070436048222094,0.7463593922417452,0.04043404631947575,0.6117205559385077,0.049425646906896464,0.7555136268343816,0.08082196807915004,0.7415999999999999,0.04766899761200496,0.6743931381391262,0.05505270092339706,0.7203186453135921,0.06762128317306598,13.12,4.390520090680222,25.84,4.766899761200494
Focal,16.6,14.756354563373705,2.0,1.4433756729740645,0.8245067784765898,0.03771773035990762,0.6990605085746944,0.050720451419245416,0.9395527603074773,0.040215604643445896,3.24,2.146314670934033,0.35,0.08291561975888496,0.7408708938120703,0.04062165661760111,0.6019394974952283,0.048125178138617525,0.7703843466107617,0.07326006730744454,0.7252,0.04848711168960265,0.6744274700620728,0.05068826238849455,0.7284462749323033,0.061016494094866966,12.32,3.976179070414209,27.48,4.848711168960263
Exponential,16.6,14.756354563373705,2.0,1.4433756729740645,0.8207541579315163,0.038205219318888324,0.7003395816072095,0.051842644117773465,0.9403913347309573,0.03789793699605017,3.2,2.0412414523193148,0.136,0.06695769808866889,0.7499940582293523,0.0397483501009103,0.627502330639585,0.052724422879332475,0.7031865828092243,0.07552365437328697,0.7752,0.042339894504670975,0.6618044134382396,0.05589958144300271,0.6856362290472204,0.06556102988137366,15.92,4.091861841916627,22.48,4.233989450467097
