model,seed,fold,roc_auc,pr_auc,recall_opt,fn_opt,thr_opt,accuracy,precision,recall,specificity,f1,f2,fn,fp
Weighted CE,21,2,0.856111111111111,0.7511623466085585,0.9629629629629629,2,0.1,0.8051948051948052,0.6818181818181818,0.8333333333333334,0.79,0.75,0.7978723404255319,9,21
Focal,21,2,0.8574074074074074,0.7612430844973024,0.9444444444444444,3,0.35,0.8051948051948052,0.6875,0.8148148148148148,0.8,0.7457627118644068,0.7857142857142857,10,20
Exponential,21,2,0.8538888888888889,0.7409577638900038,0.9444444444444444,3,0.15,0.8051948051948052,0.7068965517241379,0.7592592592592593,0.83,0.7321428571428571,0.7481751824817519,13,17
Standard,21,3,0.7943396226415094,0.6726074059098825,1.0,0,0.05,0.7254901960784313,0.6078431372549019,0.5849056603773585,0.8,0.5961538461538461,0.5893536121673004,22,20
Weighted CE,21,3,0.7839622641509435,0.6612106473389926,0.9433962264150944,3,0.2,0.7124183006535948,0.56,0.7924528301886793,0.67,0.65625,0.7317073170731707,11,33
Focal,21,3,0.7952830188679244,0.6737211901807797,0.9245283018867925,4,0.39999999999999997,0.6928104575163399,0.5394736842105263,0.7735849056603774,0.65,0.6356589147286822,0.7118055555555556,12,35
Exponential,21,3,0.7792452830188679,0.6421839412349027,0.8867924528301887,6,0.3,0.7189542483660131,0.578125,0.6981132075471698,0.73,0.6324786324786325,0.6702898550724637,16,27
Standard,21,4,0.8577358490566038,0.7268002915022083,0.8490566037735849,8,0.3,0.803921568627451,0.7346938775510204,0.6792452830188679,0.87,0.7058823529411765,0.6896551724137931,17,13
Weighted CE,21,4,0.8581132075471698,0.7332416787549619,0.8679245283018868,7,0.35,0.8169934640522876,0.6984126984126984,0.8301886792452831,0.81,0.7586206896551724,0.8,9,19
Focal,21,4,0.8586792452830189,0.7332546733946178,0.8490566037735849,8,0.49999999999999994,0.803921568627451,0.6716417910447762,0.8490566037735849,0.78,0.75,0.8064516129032258,8,22
Exponential,21,4,0.8592452830188678,0.7289525499922374,0.9433962264150944,3,0.1,0.7973856209150327,0.6896551724137931,0.7547169811320755,0.82,0.7207207207207207,0.7407407407407407,13,18
